"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID31_CampusCourseFeesResKey","UID4_CoursesOnCampusResKey","E525_CampusSuburb","E644_CampusCountryCode","E559_CampusPostcode","Campuses_E609_EffectiveFromDate","UID5_CoursesResKey","E307_CourseCode","E536_CourseFeesCode","E495_IndicativeStudentContributionCSP","E496_IndicativeTuitionFeeDomesticFP","E609_EffectiveFromDate"
35,1055,"HEP",43970,43214,"CRAWLEY",1101,"6009","01/01/1999",129600,"BP0291",1,"9050.00","NULL","01/01/2022"
35,1055,"HEP",65680,43214,"CRAWLEY",1101,"6009","01/01/1999",129600,"BP0291",1,"8719.00","NULL","01/11/2022"
35,1055,"HEP",65698,44616,"CRAWLEY",1101,"6009","01/01/1999",132875,"UWC121",1,"8888.00","NULL","01/11/2022"
35,1055,"HEP",18699,21595,"ALBANY",1101,"6330","01/01/1999",117180,"CU0022",0,"NULL","NULL","01/01/2021"
35,1055,"HEP",25892,37205,"SINGAPORE BUSINESS",5205,"NULL","01/01/1999",51391,"400401",0,"NULL","NULL","01/06/2006"
35,1055,"HEP",26055,37378,"CRAWLEY",1101,"6009","01/01/1999",11573,"601302",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",32544,38414,"SINGAPORE BUSINESS",5205,"NULL","01/01/1999",10327,"4000U3",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",38501,42117,"CRAWLEY",1101,"6009","01/01/1999",99220,"625301",2,"NULL","28900.00","01/01/2017"
35,1055,"HEP",38563,42117,"CRAWLEY",1101,"6009","01/01/1999",99220,"625301",2,"NULL","29333.50","01/11/2021"
35,1055,"HEP",65526,42117,"CRAWLEY",1101,"6009","01/01/1999",99220,"625301",2,"NULL","29739.50","01/11/2022"
35,1055,"HEP",38544,42160,"CRAWLEY",1101,"6009","01/01/1999",92531,"715201",3,"7758.00","30500.00","01/01/2015"
35,1055,"HEP",38572,42160,"CRAWLEY",1101,"6009","01/01/1999",92531,"715201",3,"8151.00","30957.50","01/11/2021"
35,1055,"HEP",65507,42160,"CRAWLEY",1101,"6009","01/01/1999",92531,"715201",3,"8425.00","31465.00","01/11/2022"
